Selected features and its arrangement:
Sp_Max_L, nHM, F04[C-N], NssssC, nCb, n0, F03[C-N], LOC, Mi, nArNO2, C%, SpPosA_B(p), nCIR, B03[C-Cl], SpMax_A, TI2_L, C-026, F02[C-N], SpMax_B(m), SM6_B(m), nArCOOR, nX

RB Row 2: 3.919;0;0;0;0;0;0;2.55;1.142;0;31.4;1.201;0;0;1.932;4.489;0;0;2.949;7.253;0;0
RB Row 21: 2;0;0;0;0;1;0;0;1.173;0;16.7;0.93;0;0;1;1;0;0;2.279;4.948;0;0
RB Row 154: 4.97;3;0;0;4;1;0;0.861;1.099;0;46.2;1.334;1;1;2.307;0.962;4;0;4.106;9.154;0;3
RB Row 842: 3.879;0;2;0;0;0;2;2.281;1.151;0;28.6;1.179;0;0;1.902;3.685;0;2;2.957;7.078;0;0
RB Row 909: 4;0;0;0;0;0;1;0;1.121;0;45.5;1.287;1;0;2;0.667;0;2;3.482;7.627;0;0

NRB Row 596: 2;0;0;0;0;0;0;0;1.235;0;0;0.863;0;0;1;1;0;0;2.267;4.917;0;0
NRB Row 615: 4.412;0;4;0;0;2;2;4.297;1.142;0;32.2;1.198;0;0;2.086;15.507;0;4;3.374;8.904;0;0
NRB Row 802: 5.489;0;0;2;4;3;0;3.682;1.135;0;35;1.225;1;0;2.466;11.779;1;0;3.854;9.163;0;0
NRB Row 1045: 5.399;0;0;1;4;1;0;1.084;1.127;0;38.7;1.271;1;0;2.403;1.65;1;0;3.818;8.453;0;0
NRB Row 1055: 5.158;2;36;0;9;0;44;0.257;1.093;0;56.1;1.41;147;1;2.622;1.535;1;16;5.808;11.055;0;1
NRB Row 917: 5.236;6;0;0;0;0;0;0.799;1.12;0;33.3;1.347;1;1;2.414;0.873;0;0;4.085;9.504;0;6
